instruction,input,output
,Should I disclose potential conflicts of interest or only actual ones?,"Employees must disclose any actual or potential conflicts of interest to their supervisor and the Compliance Department. The appearance of a conflict can be as damaging as an actual conflict. When in doubt, employees should disclose the situation and seek guidance."
,Can I accept a cash gift from a customer?,"No, cash or cash equivalents (gift cards, securities, etc.) of any amount are prohibited under the gifts and gratuities policy."
,When was First National Bank founded?,First National Bank was founded in 1935.
,How many branches does First National Bank have?,First National Bank has over 85 branches.
,How many employees work at First National Bank?,"First National Bank has more than 2,500 employees."
,Who is the CEO of First National Bank?,Jonathan Reynolds is the Chief Executive Officer of First National Bank.
,What is the mission of First National Bank?,"The mission of First National Bank is to deliver exceptional financial services that help our customers, communities, and employees prosper and grow."
,What is the vision of First National Bank?,"The vision of First National Bank is to be the most trusted financial partner in the communities we serve, known for our customer focus, innovative solutions, and commitment to excellence."
,How many core values does First National Bank have?,First National Bank has seven core values.
,What are the core values of First National Bank?,"The core values of First National Bank are: Integrity, Excellence, Customer Focus, Teamwork, Community Commitment, Accountability, and Respect."
,What does the Integrity core value mean?,"Integrity means conducting business ethically and honestly, always doing what is right for customers, employees, and communities."
,What does the Excellence core value mean?,"Excellence means striving for exceptional performance in everything, constantly seeking to improve and innovate."
,What does the Customer Focus core value mean?,Customer Focus means building lasting relationships by understanding customers' needs and delivering solutions that exceed their expectations.
,What does the Teamwork core value mean?,"Teamwork means collaborating effectively, respecting diverse perspectives, and supporting each other to achieve common goals."
,What does the Community Commitment core value mean?,Community Commitment means actively contributing to the economic and social well-being of the communities served by the bank.
,What does the Accountability core value mean?,"Accountability means taking ownership of actions and decisions, learning from both successes and failures."
,What does the Respect core value mean?,"Respect means treating everyone with dignity and respect, valuing the diversity of ideas, backgrounds, and experiences."
,When was the employee handbook last updated?,The employee handbook was last updated in March 2025.
,Is the employee handbook confidential?,"Yes, the employee handbook contains confidential information that should not be disclosed to unauthorized individuals."
,What is the bank's policy on equal employment opportunity?,"First National Bank is committed to providing equal employment opportunities to all individuals without regard to race, color, religion, sex, national origin, age, disability, marital status, veteran status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law."
,What is the definition of employment at will?,"Employment at will means that employment with First National Bank is voluntary and is subject to termination by the employee or the Bank at will, with or without cause, and with or without notice, at any time."
,Can the employment at will policy be modified?,The employment-at-will policy may not be modified by any officer or employee and shall not be modified in any publication or document. The only exception to this policy is a written employment agreement approved by the CEO or Board of Directors of the Bank.
,What immigration law does First National Bank comply with?,First National Bank complies with the Immigration Reform and Control Act of 1986.
,What form must new employees complete for immigration law compliance?,"New employees must properly complete, sign, and date the first section of the U.S. Citizenship and Immigration Services Form I-9."
,What are the different employee classifications at First National Bank?,"First National Bank classifies employees as: Full-time Regular Employees, Part-time Regular Employees, Temporary Employees, Non-exempt Employees, and Exempt Employees."
,How many hours per week must a full-time regular employee work?,Full-time regular employees are regularly scheduled to work at least 35 hours per week.
,Are full-time regular employees eligible for benefits?,"Yes, full-time regular employees are generally eligible for the full benefits package, subject to the terms, conditions, and limitations of each benefit program."
,How many hours do part-time regular employees work?,Part-time regular employees are regularly scheduled to work less than 35 hours per week.
,Are part-time regular employees eligible for benefits?,"Part-time employees who work at least 20 hours per week are eligible for some benefits sponsored by First National Bank, subject to the terms, conditions, and limitations of each benefit program."
,What is the typical duration of employment for temporary employees?,"Employment assignments for temporary employees are of a limited duration, generally not exceeding six months."
,Are temporary employees eligible for benefits?,"No, temporary employees are not eligible for any of the Bank's benefit programs."
,What are non-exempt employees?,Non-exempt employees are employees who are entitled to overtime pay under the Fair Labor Standards Act (FLSA) and are required to submit a record of the time they work each week.
,What are exempt employees?,"Exempt employees are employees who are not entitled to overtime pay under the FLSA and who are employed in an executive, administrative, professional, outside sales, or certain computer-related capacity."
,Why does First National Bank conduct background checks?,"Due to the nature of the banking business and in compliance with federal banking regulations, all offers of employment at First National Bank are contingent upon satisfactory completion of a background investigation."
,What may be included in a background check?,"Background investigations may include verification of previous employment and education, credit history, criminal background, and other checks as deemed appropriate based on the position."
,Are additional security clearances required for certain positions?,"Yes, for certain positions, particularly those with access to sensitive customer information or financial systems, additional security clearances or enhanced background checks may be required."
,How long is the probationary period for new employees?,The probationary period for new employees is 90 days.
,What happens during the probationary period?,"During the probationary period, employees have the opportunity to evaluate the Bank as a place to work, and management has the opportunity to evaluate the employee's job performance. New employees will be provided with training and guidance from their supervisor."
,Does completing the probationary period guarantee continued employment?,"No, completion of the probationary period does not guarantee continued employment and does not change the at-will employment relationship."
,Who owns personnel files?,Personnel files are the property of First National Bank.
,Who has access to personnel files?,"Access to personnel files is restricted. Generally, only supervisors and management personnel of the Bank who have a legitimate reason to review information in a file are allowed to do so."
,Can employees review their own personnel files?,"Yes, with reasonable advance notice, employees may review their own personnel files in the presence of an individual appointed by the Bank to maintain the files."
,What personal data changes should employees report to Human Resources?,"Employees should report changes in: name, address and telephone number, emergency contact information, educational accomplishments, marital status, number of dependents, beneficiary designations for benefits, and banking information for direct deposit."
,Does First National Bank prohibit the employment of relatives?,"No, First National Bank does not prohibit the employment of relatives, but has policies to ensure fair and equal treatment of all employees."
,Can relatives work in the same line of authority?,"No, relatives may be hired only if they will not be working directly for or supervising a relative or will not occupy a position in the same line of authority within the organization."
,How does the bank define a relative for employment purposes?,"For employment purposes, a relative is any person who is related by blood or marriage, or whose relationship with the employee is similar to that of persons who are related by blood or marriage."
,What happens if a relationship is established after employment that creates a conflict?,"If a relationship is established after employment that creates a situation where a conflict or the potential for conflict arises, the employees may be separated by reassignment or terminated from employment."
,What is the bank's policy on confidentiality?,The protection of confidential business information and trade secrets is vital to the interests and success of First National Bank. All employees are required to sign a confidentiality and non-disclosure agreement as a condition of employment.
,What type of information is considered confidential?,"Confidential information includes, but is not limited to: customer information and data, financial information, marketing strategies, pending projects and proposals, proprietary processes, research and development strategies, and technological data and systems."
,What happens if an employee improperly discloses confidential information?,"Employees who improperly use or disclose trade secrets or confidential business information will be subject to disciplinary action, up to and including termination of employment and legal action, even if they do not actually benefit from the disclosed information."
,What must employees return upon termination of employment?,"Upon termination of employment, employees must return all documents, papers, and other materials that may contain confidential information."
,How many principles are in the Code of Ethics?,The Code of Ethics establishes nine fundamental principles for everyone who works at the Bank.
,What are the principles in the Code of Ethics?,"The principles in the Code of Ethics are: 1) Comply with all applicable laws, rules, and regulations; 2) Act with integrity and honesty; 3) Avoid conflicts of interest; 4) Maintain confidentiality; 5) Report suspected violations; 6) Treat all individuals with respect and dignity; 7) Conduct business that positively reflects on the Bank; 8) Protect Bank assets; 9) Promote a culture of ethical decision-making."
,Who does the Code of Ethics apply to?,"The Code of Ethics applies to all employees, officers, and directors of First National Bank."
,What happens if there are violations of the Code of Ethics?,"Violations of the Code of Ethics may result in disciplinary action, up to and including termination of employment."
,What is considered professional conduct at First National Bank?,"Professional conduct includes treating others with respect and courtesy, communicating effectively, maintaining a positive attitude, demonstrating reliability, taking responsibility, displaying willingness to learn, resolving conflicts constructively, refraining from gossip, and using appropriate language."
,What type of dress code does First National Bank have?,"First National Bank expects all employees to present a professional, business-like appearance while at work, with specific guidelines for business professional attire and business casual attire depending on the position."
,Who is required to wear business professional attire?,Business professional attire is required for customer-facing positions.
,What is considered business professional attire for men?,"Business professional attire for men includes business suits, dress shirts with ties, dress pants, blazers, and dress shoes."
,What is considered business professional attire for women?,"Business professional attire for women includes business suits, dresses, skirts, blouses, dress pants, blazers, and dress shoes."
,When is business casual attire permitted?,Business casual attire may be permitted for non-customer-facing positions or on designated casual days.
,What is considered business casual attire for men?,"Business casual attire for men includes dress slacks or khakis, button-down shirts, polo shirts, sweaters, loafers or dress shoes."
,What is considered business casual attire for women?,"Business casual attire for women includes casual dresses, skirts, slacks, blouses, sweaters, dress shoes or dress sandals."
,Are jeans permitted in the dress code?,Jeans of any color are not permitted except on authorized casual days.
,Are visible tattoos allowed according to the dress code?,Visible tattoos should be minimal and non-offensive according to the dress code.
,Are exotic hairstyles permitted?,Exotic hairstyles and unnaturally colored hair are generally not permitted.
,What is the policy on attendance and punctuality?,"Regular attendance and punctuality are essential for the efficient operation of First National Bank and are expected of all employees. Employees should be at their workstations, ready to work, at their scheduled start time."
,When should employees notify supervisors of an absence?,Employees must notify their supervisor at least 30 minutes before their scheduled start time if they will be late or absent.
,What is considered excessive absenteeism?,Excessive absenteeism is defined as more than three unscheduled absences in a three-month period.
,What is considered excessive tardiness?,Excessive tardiness is defined as more than three late arrivals in a three-month period.
,"What is a no-call, no-show?","A no-call, no-show is failure to notify a supervisor of an absence, and it is considered a serious offense that may result in immediate disciplinary action."
,How many customer service standards does First National Bank have?,First National Bank has eight customer service standards.
,What are the customer service standards at First National Bank?,The customer service standards are: 1) Greet customers promptly and professionally; 2) Respond to inquiries in a timely manner; 3) Communicate clearly and effectively; 4) Maintain a positive attitude; 5) Take ownership of customer issues; 6) Protect customer privacy and confidentiality; 7) Go above and beyond; 8) Continuously improve.
,Do customer service standards apply to all employees?,"Yes, all employees are expected to embody the customer service standards regardless of their role or direct customer contact."
,What is a conflict of interest?,"A conflict of interest exists when an employee's personal interests interfere, or appear to interfere, with the employee's ability to act in the best interest of First National Bank and its customers."
,What are examples of potential conflicts of interest?,"Examples of potential conflicts of interest include: having a significant financial interest in a company that does business with the Bank, accepting substantial gifts, using Bank property for personal gain, competing with the Bank, making decisions influenced by personal relationships, processing transactions for family members, and outside employment that conflicts with Bank duties."
,What should employees do if they have a conflict of interest?,Employees must disclose any actual or potential conflicts of interest to their supervisor and the Compliance Department.
,What happens after a conflict of interest is disclosed?,"Disclosed conflicts will be reviewed and appropriate actions determined. Employees may be asked to recuse themselves from certain decisions or activities, or may need to eliminate the conflict."
,What is the bank's policy on accepting gifts?,"Employees may not accept gifts, gratuities, or favors from customers, suppliers, or others doing business with the Bank except under specific conditions such as nominal value (under $50), advertising material, normal business courtesies, or holiday gifts of reasonable value."
,What types of gifts are prohibited?,"Prohibited gifts include: cash or cash equivalents of any amount, gifts intended to influence a business decision, lavish or extravagant gifts regardless of value, and gifts prohibited by law or regulation."
,What is the reporting requirement for gifts?,Gifts valued at more than $50 must be reported to the employee's supervisor and the Compliance Department.
,What should an employee do if they receive a prohibited gift?,"If an employee receives a prohibited gift, it should be returned or donated to charity."
,What is the policy on outside employment?,"First National Bank recognizes that employees may engage in outside employment or business activities, provided there is no conflict with their job responsibilities. Outside employment that conflicts with the Bank's interests is prohibited."
,What are the guidelines for outside employment?,"Guidelines for outside employment include: it must not interfere with job performance, conflict with work schedule, use Bank resources, compete with Bank business, be performed during Bank time, or involve working for a competitor, supplier, or customer."
,Must employees disclose outside employment?,"Yes, employees must disclose any outside employment to their supervisor and the Human Resources Department."
,What happens if outside employment interferes with work?,"The Bank may request employees to curtail or terminate outside employment if it creates a conflict of interest, interferes with job performance, results in excessive absenteeism or tardiness, or involves working for a competitor, supplier, or customer."
,Who is authorized to create and manage social media accounts for the bank?,Only authorized employees may create and manage social media accounts on behalf of First National Bank.
,What guidelines must be followed for content posted on bank social media?,"Content posted on official Bank social media channels must be accurate and compliant with regulations, protect confidentiality, maintain a professional tone, be approved through proper channels, and adhere to Bank branding guidelines."
,What should employees do when using personal social media accounts?,"When using personal social media accounts, employees should make it clear that views expressed are their own, never disclose confidential information, respect copyright laws, be respectful in communications, and not use social media during working hours or on Bank equipment unless work-related."
,What disclaimer should employees use when identifying as Bank employees on social media?,Employees should use a disclaimer such as: 'The views expressed on this site are my own and do not reflect the views of First National Bank.'
,What types of content are prohibited on social media?,"Prohibited social media content includes disclosure of confidential customer information, statements that damage the Bank's reputation, harassing or discriminatory comments, false statements about competitors, and information that violates securities laws or regulations."
,What laws must employees comply with regarding privacy?,"Employees must comply with relevant privacy laws and regulations, including Gramm-Leach-Bliley Act (GLBA), Fair Credit Reporting Act (FCRA), Bank Secrecy Act (BSA), and state privacy laws."
,What security measures should employees take to protect privacy?,"Security measures include locking computers when away from desks, securing physical documents containing sensitive information, using secure shredding bins for disposal of confidential documents, never sharing passwords or access credentials, and reporting any suspected privacy breaches immediately."
,What is the bank's commitment regarding harassment and discrimination?,First National Bank is committed to providing a work environment that is free from all forms of harassment and discrimination. The Bank prohibits harassment or discrimination based on any characteristic protected by law.
,Who does the anti-harassment policy apply to?,"The anti-harassment policy applies to all employees, customers, vendors, contractors, and visitors in the workplace or in any work-related setting outside the workplace."
,What is the definition of sexual harassment?,"Sexual harassment includes unwelcome sexual advances, requests for sexual favors, and other verbal or physical conduct of a sexual nature when submission is a condition of employment, used for employment decisions, or creates an interfering or hostile environment."
,What are examples of sexual harassment?,"Examples of sexual harassment include unwelcome touching, suggestive remarks, unwanted advances, graphic commentaries about someone's body, display of sexually suggestive objects, sexual jokes, unwelcome questions about sexual experiences, and sending sexually explicit communications."
,What are other forms of harassment?,"Other forms of harassment include verbal or physical conduct that denigrates or shows hostility toward an individual because of their protected characteristic and creates a hostile environment, interferes with work performance, or affects employment opportunities."
,What are examples of other forms of harassment?,"Examples include jokes, slurs, epithets, name-calling, threats, intimidation, hostile acts, negative stereotyping, written or graphic material that shows hostility, and circulation of offensive material."
,How can employees report harassment or discrimination?,"Employees can report harassment or discrimination to their immediate supervisor, directly to any HR representative, anonymously through the Bank's Ethics Hotline, or to any member of the executive team."
,What information should be included in a harassment report?,"A harassment report should include the date(s), time(s), and location(s) of the incident(s), description of the incident(s), name(s) of the individual(s) involved, name(s) of any witness(es), and any supporting documentation or evidence."
,What is the process for investigating harassment complaints?,"The investigation process includes initial assessment, developing an investigation plan, gathering information through documents and interviews, analyzing the information to determine if a violation occurred, taking appropriate action, and following up with the person who made the report."
,What is the bank's policy on retaliation?,"First National Bank strictly prohibits retaliation against any individual who reports harassment or discrimination, participates in an investigation, or opposes discriminatory practices."
,What are examples of retaliation?,"Examples of retaliation include termination, demotion, unfavorable reassignment, denial of promotion or benefits, reduction in pay or hours, and increased scrutiny or performance monitoring."
,What is the bank's Ethics Hotline phone number?,The Bank's Ethics Hotline number is 1-800-XXX-XXXX.
,Where can the Ethics Hotline be accessed online?,The Ethics Hotline can be accessed online at [ethicshotline.firstnationalbank.com].
,Where can employees find the most current version of the employee handbook?,The most current version of the employee handbook is available in the HR section of the company intranet.
,Can the bank modify policies in the handbook?,"Yes, First National Bank reserves the right to modify, revoke, suspend, terminate, or change any or all policies or procedures, in whole or in part, with or without notice, at any time."
,Are the policies in the handbook conditions of employment?,"No, the policies described in the handbook are not conditions of employment, and the language is not intended to create a contract between First National Bank and its employees."
,What should new employees do regarding the I-9 form?,"New employees must properly complete, sign, and date the first section of the U.S. Citizenship and Immigration Services Form I-9 before commencing work."
,What is the purpose of the employee handbook?,"The handbook is designed to provide clear guidelines regarding policies and procedures, outline available benefits, communicate expectations for conduct and performance, ensure compliance with regulations and laws, and foster a positive work environment."
,What is the required standard of dress for customer-facing employees?,Customer-facing employees are required to wear business professional attire.
,What happens if an employee violates the dress code?,Employees who do not meet dress code standards may be sent home to change and may be subject to disciplinary action for repeated violations.
,Who is responsible for enforcing the dress code?,Department managers are responsible for enforcing the dress code within their departments.
,In what year was First National Bank founded?,First National Bank was founded in 1935.
,Which types of banking services does First National Bank provide?,"First National Bank provides a comprehensive range of banking services including personal and business banking, mortgage lending, investment services, and wealth management."
,What is the basis of First National Bank's reputation?,"First National Bank's reputation is built on integrity, exceptional customer service, and community involvement."
,What approach does First National Bank take to risk management?,First National Bank takes a conservative approach to risk management and focuses on building long-term relationships with customers.
,What may be required if an employee is absent for three or more consecutive days due to illness?,"If an employee is absent for three or more consecutive days due to illness, a physician's statement may be required."
,Are employees with good attendance records given any preference?,"Yes, employees with satisfactory attendance records may be given preference when promotional opportunities arise."
,How do poor attendance and tardiness affect the workplace?,Poor attendance and tardiness create a burden for other employees and may impact customer service.
,How should employees handle confidential information?,"All confidential information must be treated as confidential, access should be limited to what is necessary for job duties, information should never be discussed in public areas or with unauthorized individuals, and proper authentication procedures must be followed."
,What is the purpose of a background check?,Background checks are conducted due to the nature of the banking industry and in compliance with federal banking regulations to ensure suitability for employment.
,When was First National Bank founded?,First National Bank was founded in 1935.
,How many branches does the bank have?,First National Bank has over 85 branches.
,How many employees work at the bank?,"First National Bank has more than 2,500 employees."
,Who's the CEO of the bank?,Jonathan Reynolds is the Chief Executive Officer of First National Bank.
,What's the bank's mission?,"The mission of First National Bank is to deliver exceptional financial services that help our customers, communities, and employees prosper and grow."
,What's the bank's vision?,"The vision of First National Bank is to be the most trusted financial partner in the communities we serve, known for our customer focus, innovative solutions, and commitment to excellence."
,What are the bank's core values?,"First National Bank's core values are: Integrity, Excellence, Customer Focus, Teamwork, Community Commitment, Accountability, and Respect."
,How is integrity defined at the bank?,"At First National Bank, integrity is defined as conducting business ethically and honestly, always doing what is right for customers, employees, and communities."
,What does customer focus mean at the bank?,"At First National Bank, customer focus means building lasting relationships by understanding customers' needs and delivering solutions that exceed their expectations."
,What's the deal with equal employment opportunity at the bank?,"First National Bank is committed to providing equal employment opportunities to all individuals without regard to race, color, religion, sex, national origin, age, disability, marital status, veteran status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law."
,Is employment at the bank at-will?,"Yes, employment with First National Bank is voluntary and is subject to termination by the employee or the Bank at will, with or without cause, and with or without notice, at any time."
,What's the deal with immigration law compliance?,First National Bank is committed to employing only United States citizens and aliens who are authorized to work in the United States and complies with the Immigration Reform and Control Act of 1986. New employees must complete Form I-9.
,What makes someone a full-time employee?,Full-time regular employees are those who are not in a temporary status and who are regularly scheduled to work a full-time schedule of at least 35 hours per week.
,How many hours do part-time employees work?,Part-time regular employees are those who are not in a temporary status and who are regularly scheduled to work less than 35 hours per week.
,Do part-timers get benefits?,"Part-time employees who work at least 20 hours per week are eligible for some benefits sponsored by First National Bank, subject to the terms, conditions, and limitations of each benefit program."
,What's a temporary employee?,"Temporary employees are hired as interim replacements, to temporarily supplement the workforce, or to assist in the completion of a specific project. Employment assignments in this category are of a limited duration, generally not exceeding six months."
,Do you guys do background checks?,"Yes, all offers of employment at First National Bank are contingent upon satisfactory completion of a background investigation. These may include verification of previous employment and education, credit history, criminal background, and other checks as deemed appropriate based on the position."
,How long is the probation period for new hires?,The first 90 days of employment at First National Bank are considered a probationary period.
,Can I look at my personnel file?,"Yes, with reasonable advance notice, employees may review their own personnel files in the presence of an individual appointed by the Bank to maintain the files."
,What happens if I need to change my personal info?,"Employees are responsible for promptly notifying Human Resources of any changes in their personal data, including name changes, address, telephone number, emergency contacts, educational accomplishments, marital status, number of dependents, beneficiary designations, and banking information for direct deposit."
,Can I work at the bank if my cousin already works there?,"While First National Bank does not prohibit the employment of relatives, relatives may be hired only if they will not be working directly for or supervising a relative or will not occupy a position in the same line of authority within the organization."
,What's considered confidential info at the bank?,"Confidential information at First National Bank includes customer information and data, financial information, marketing strategies, pending projects and proposals, proprietary processes, research and development strategies, and technological data and systems."
,What happens if I share bank secrets?,"Employees who improperly use or disclose trade secrets or confidential business information will be subject to disciplinary action, up to and including termination of employment and legal action, even if they do not actually benefit from the disclosed information."
,What's in the code of ethics?,"The Code of Ethics establishes that employees must comply with all laws and regulations, act with integrity and honesty, avoid conflicts of interest, maintain confidentiality, report suspected violations, treat all individuals with respect, conduct business positively, protect bank assets, and promote ethical decision-making."
,What kind of professional behavior is expected?,"Professional conduct at First National Bank includes treating others with respect, communicating effectively, maintaining a positive attitude, being reliable, taking responsibility, being willing to learn, resolving conflicts constructively, refraining from gossip, and using appropriate language."
,What's the dress code like?,"First National Bank expects professional business attire for customer-facing positions and business casual for non-customer-facing positions. Clothing should be clean, pressed, in good condition, modest, and appropriate for a business environment. Items like jeans, t-shirts, athletic wear, revealing clothing, and casual footwear are not permitted."
,Can I wear jeans to work?,Jeans of any color are not permitted except on authorized casual days.
,What if I'm going to be late for work?,Employees must notify their supervisor as soon as possible if they will be late or absent. Notification should occur at least 30 minutes before the scheduled start time.
,What's considered excessive tardiness?,Excessive tardiness is defined as more than three late arrivals in a three-month period.
,What if I'm sick for a week?,"If an employee is absent for three or more consecutive days due to illness, a physician's statement may be required."
,What are the customer service rules?,"Customer service standards include greeting customers promptly and professionally, responding to inquiries in a timely manner, communicating clearly, maintaining a positive attitude, taking ownership of issues, protecting customer privacy, going above and beyond, and continuously improving."
,What's a conflict of interest?,"A conflict of interest exists when an employee's personal interests interfere, or appear to interfere, with the employee's ability to act in the best interest of First National Bank and its customers."
,Can I accept gifts from customers?,"Employees may accept gifts from customers only if the gift is of nominal value (generally under $50), is advertising material with a company logo, is a normal business courtesy like a meal, is given during holidays or special occasions and represents reasonable value, or if declining would create unnecessary offense."
,Can I accept cash gifts?,"No, employees may not accept cash or cash equivalents (gift cards, securities, etc.) of any amount."
,Can I work a second job while employed at the bank?,"First National Bank allows employees to engage in outside employment provided there is no conflict with their job responsibilities. The outside work must not interfere with job performance, conflict with work schedules, use Bank resources, compete with Bank business, be performed during Bank time, or involve working for a competitor, supplier, or customer."
,What's the social media policy?,"Only authorized employees may create and manage social media accounts on behalf of the Bank. When using personal accounts, employees should clarify their views are their own, never disclose confidential information, respect copyright laws, be respectful in communications, and not use social media during working hours or on Bank equipment unless work-related."
,What should I do if I face harassment?,"Employees who experience harassment should report it promptly through direct management, Human Resources, the Ethics Hotline, or executive management. Reports should include dates, times, locations, descriptions of incidents, names of individuals involved, names of witnesses, and any supporting documentation."
,What's considered sexual harassment?,"Sexual harassment includes unwelcome sexual advances, requests for sexual favors, and other verbal or physical conduct of a sexual nature when submission is made a condition of employment, is used for employment decisions, or creates an intimidating, hostile, or offensive working environment."
,What happens after I report harassment?,"All reports of harassment are promptly investigated through a process of initial assessment, investigation planning, information gathering, analysis, conclusion and action, and follow-up. Throughout the investigation, all parties are expected to maintain confidentiality."
,Will I get in trouble for reporting harassment?,"No, First National Bank strictly prohibits retaliation against any individual who reports harassment or discrimination, participates in an investigation, or opposes discriminatory practices."
,When do we get paid?,Pay periods and methods are outlined in the Compensation and Benefits section of the handbook.
,How does overtime work?,Information on overtime and compensatory time is detailed in the Compensation and Benefits section of the handbook.
,When can I expect a salary review?,Salary reviews and increases are covered in the Compensation and Benefits section of the handbook.
,What health insurance do you offer?,Health insurance benefits are described in the Compensation and Benefits section of the handbook.
,Is there a 401(k) plan?,"Yes, retirement plans and 401(k) are mentioned in the Compensation and Benefits section of the handbook."
,Does the bank help with education costs?,Educational assistance is listed among the benefits in the Compensation and Benefits section of the handbook.
,What holidays do we get off?,Holidays are listed in the Time Off and Leaves of Absence section of the handbook.
,How much vacation time do I get?,Vacation time information is provided in the Time Off and Leaves of Absence section of the handbook.
,What's the sick leave policy?,Sick leave details are covered in the Time Off and Leaves of Absence section of the handbook.
,Do you offer parental leave?,"Yes, parental leave is mentioned in the Time Off and Leaves of Absence section of the handbook."
,What are the normal work hours?,Standard work hours are outlined in the Work Hours and Scheduling section of the handbook.
,Can I work from home sometimes?,Remote work policy is covered in the Work Hours and Scheduling section of the handbook.
,Do we get breaks during the day?,Meal and rest breaks are detailed in the Work Hours and Scheduling section of the handbook.
,How often do I get performance reviews?,The performance evaluation process is described in the Performance Management section of the handbook.
,What happens if I'm not performing well?,Performance improvement plans are addressed in the Performance Management section of the handbook.
,Does the bank offer training programs?,"Yes, training and development are covered in the Performance Management section of the handbook."
,What safety rules do we have to follow?,General safety rules are outlined in the Workplace Health and Safety section of the handbook.
,What's the policy on workplace violence?,Workplace violence prevention is addressed in the Workplace Health and Safety section of the handbook.
,Does the bank do drug testing?,"Yes, drug testing is mentioned in the Workplace Health and Safety section of the handbook."
,Can I smoke at work?,The bank has a smoke-free workplace policy as mentioned in the Workplace Health and Safety section of the handbook.
,What's the policy on using company computers?,Acceptable use of technology is covered in the Information Technology section of the handbook.
,Can I use my personal phone for work?,Personal device usage is addressed in the Information Technology section of the handbook.
,What if I have a complaint about work?,Complaint resolution procedures are detailed in the Employee Relations section of the handbook.
,Does the bank have any wellness programs?,"Yes, a wellness program is mentioned in the Employee Relations section of the handbook."
,What happens if I want to quit?,Voluntary resignation procedures are outlined in the Termination of Employment section of the handbook.
,When do I get my final paycheck if I leave?,Final pay information is covered in the Termination of Employment section of the handbook.
,What counts as job abandonment?,Job abandonment is addressed in the Termination of Employment section of the handbook.
,Who do I contact in HR?,"Key contact information, including HR contacts, can be found in the Appendices section of the handbook."
,How does First National Bank approach risk management?,"First National Bank takes a conservative approach to risk management, which has enabled the bank to grow steadily and sustainably, even during challenging economic times."
,Do I have to sign something saying I read the handbook?,"Yes, there is an Acknowledgment of Receipt form mentioned in the Appendices section of the handbook."
,Who updates the employee handbook?,"According to the introduction, First National Bank reserves the right to modify, revoke, suspend, terminate, or change any or all policies or procedures. The most current version is available in the HR section of the company intranet."
,When was the handbook last updated?,The handbook was last updated in March 2025.
,How does the bank handle customer information?,All customer information must be treated as confidential. Access should be limited to what is necessary to perform job duties. Customer information should never be discussed in public areas or with unauthorized individuals.
,What laws does the bank follow regarding privacy?,"The bank complies with relevant privacy laws and regulations, including the Gramm-Leach-Bliley Act (GLBA), Fair Credit Reporting Act (FCRA), Bank Secrecy Act (BSA), and state privacy laws."
,Can I post about work on Facebook?,"When using personal social media accounts, employees should make it clear that views expressed are their own, never disclose confidential information, be respectful in communications, and not use social media during working hours or on Bank equipment unless it is work-related."
,What happens if there's bad weather and I can't get to work?,Information about inclement weather and emergency closings is included in the Work Hours and Scheduling section of the handbook.
,Does the bank offer any mentoring programs?,"Yes, a mentoring program is mentioned in the Performance Management section of the handbook."
,How can I get promoted?,Promotions and transfers are covered in the Performance Management section of the handbook.
,How long has First National Bank been around?,First National Bank was founded in 1935.
,Does the bank do community service?,"Yes, community involvement is mentioned in the Employee Relations section of the handbook, and Community Commitment is one of the bank's core values."
,Can I see my performance goals?,Goal setting is addressed in the Performance Management section of the handbook.
,Are there any employee discounts on bank services?,"Employee benefits are covered in the Compensation and Benefits section of the handbook, though specific employee discounts on bank services are not explicitly mentioned in the excerpt provided."
,What's the ethics hotline number?,The Bank's Ethics Hotline is 1-800-XXX-XXXX or online at [ethicshotline.firstnationalbank.com].
,What happens during an exit interview?,Exit interviews are mentioned in the Termination of Employment section of the handbook.
,Can I bring my own computer to work?,Personal device usage is addressed in the Information Technology section of the handbook.
,How do I report a safety hazard?,Workplace health and safety procedures are covered in the Workplace Health and Safety section of the handbook.
,What's the FMLA policy?,The Family and Medical Leave Act (FMLA) policy is addressed in the Time Off and Leaves of Absence section of the handbook.
,Do we have an employee referral program?,"Yes, an employee referral program is mentioned in the Employee Relations section of the handbook."
,What type of financial services does the bank provide?,"First National Bank provides a comprehensive range of banking services including personal and business banking, mortgage lending, investment services, and wealth management."
,Who has access to my personnel file?,"Generally, only supervisors and management personnel of the Bank who have a legitimate reason to review information in a file are allowed to access personnel files."
,What is the bank's approach to diversity?,"The bank's commitment to diversity is reflected in its Equal Employment Opportunity policy and core value of Respect, which states 'We treat everyone with dignity and respect, valuing the diversity of ideas, backgrounds, and experiences.'"
,What happens if there's a security breach?,"Data security and privacy policies are covered in the Information Technology section of the handbook, and employees are expected to report any suspected privacy breaches immediately."
,What's expected when I interact with customers?,"When interacting with customers, employees are expected to greet them promptly and professionally, respond to inquiries in a timely manner, communicate clearly, maintain a positive attitude, take ownership of issues, protect privacy, go above and beyond, and continuously improve the customer experience."
,How does the bank handle employee recognition?,Employee recognition programs are mentioned in the Employee Relations section of the handbook.
,What's the policy on taking breaks during the workday?,Meal and rest breaks are covered in the Work Hours and Scheduling section of the handbook.
,How does the bank protect customer data?,"The bank protects customer data through strict privacy standards, limited access to information, proper authentication procedures, security measures such as locking computers and securing documents, and compliance with relevant privacy laws and regulations."
